date_time,time,seconds_since_1970,turbidity,temp,par
2017-01-01T00:00:00+0930,0:00:00,1483194600,35.56,30.22,0.04
2017-01-01T00:15:00+0930,0:15:00,1483195500,42.88,30.22,0.04
2017-01-01T00:30:00+0930,0:30:00,1483196400,47.09,30.21,0.04
2017-01-01T00:45:00+0930,0:45:00,1483197300,43.61,30.21,0.04
2017-01-01T01:00:00+0930,1:00:00,1483198200,49.48,30.21,0.04
2017-01-01T01:15:00+0930,1:15:00,1483199100,48.4,30.2,0.04
2017-01-01T01:30:00+0930,1:30:00,1483200000,58.89,30.2,0.04
2017-01-01T01:45:00+0930,1:45:00,1483200900,84,30.2,0.04
2017-01-01T02:00:00+0930,2:00:00,1483201800,90.7,30.19,0.04
2017-01-01T02:15:00+0930,2:15:00,1483202700,92.1,30.19,0.04
2017-01-01T02:30:00+0930,2:30:00,1483203600,74.07,30.19,0.04
2017-01-01T02:45:00+0930,2:45:00,1483204500,84.3,30.18,0.04
2017-01-01T03:00:00+0930,3:00:00,1483205400,70.47,30.19,0.04
2017-01-01T03:15:00+0930,3:15:00,1483206300,57.23,30.18,0.04
2017-01-01T03:30:00+0930,3:30:00,1483207200,48.79,30.18,0.04
2017-01-01T03:45:00+0930,3:45:00,1483208100,53.22,30.17,0.04
2017-01-01T04:00:00+0930,4:00:00,1483209000,63.22,30.18,0.04
2017-01-01T04:15:00+0930,4:15:00,1483209900,41.81,30.18,0.04
2017-01-01T04:30:00+0930,4:30:00,1483210800,39.75,30.18,0.04
2017-01-01T04:45:00+0930,4:45:00,1483211700,46.34,30.17,0.04
2017-01-01T05:00:00+0930,5:00:00,1483212600,138.3,30.17,0.04
2017-01-01T05:15:00+0930,5:15:00,1483213500,55.85,30.18,0.04
2017-01-01T05:30:00+0930,5:30:00,1483214400,58.77,30.2,0.04
2017-01-01T05:45:00+0930,5:45:00,1483215300,58.21,30.21,0.04
2017-01-01T06:00:00+0930,6:00:00,1483216200,64.26,30.2,0.04
2017-01-01T06:15:00+0930,6:15:00,1483217100,63.39,30.2,0.04
2017-01-01T06:30:00+0930,6:30:00,1483218000,57.21,30.2,0.04
2017-01-01T06:45:00+0930,6:45:00,1483218900,59.25,30.19,0.04
2017-01-01T07:00:00+0930,7:00:00,1483219800,83.3,30.19,0.04
2017-01-01T07:15:00+0930,7:15:00,1483220700,117.9,30.19,0.04
2017-01-01T07:30:00+0930,7:30:00,1483221600,215.1,30.19,0.04
2017-01-01T07:45:00+0930,7:45:00,1483222500,174.6,30.19,0.04
2017-01-01T08:00:00+0930,8:00:00,1483223400,118.9,30.19,0.04
2017-01-01T08:15:00+0930,8:15:00,1483224300,97.3,30.18,0.04
2017-01-01T08:30:00+0930,8:30:00,1483225200,87.4,30.17,0.04
2017-01-01T08:45:00+0930,8:45:00,1483226100,64.7,30.16,0.04
2017-01-01T09:00:00+0930,9:00:00,1483227000,49.5,30.13,0.04
2017-01-01T09:15:00+0930,9:15:00,1483227900,34.47,30.11,0.04
2017-01-01T09:30:00+0930,9:30:00,1483228800,24.37,30.09,0.04
2017-01-01T09:45:00+0930,9:45:00,1483229700,30.55,30.1,0.04
2017-01-01T10:00:00+0930,10:00:00,1483230600,31.43,30.1,0.04
2017-01-01T10:15:00+0930,10:15:00,1483231500,32.91,30.1,0.04
2017-01-01T10:30:00+0930,10:30:00,1483232400,29.94,30.11,0.04
2017-01-01T10:45:00+0930,10:45:00,1483233300,32.67,30.12,0.04
2017-01-01T11:00:00+0930,11:00:00,1483234200,27.39,30.12,0.04
