date_time,time,seconds_since_1970,turbidity,temp,par,end-of-day,mmtcount,tur running,temp running,par running,tmin running,tmax running,turb-avg,temp-avg,par-daily,temp-min,temp-max
2015-02-15T23:45:00+0930,0.989583333,1424009700,1.48,30.38,0.05,end,96,209.343,2914.74,922.162,30.32,30.44,2.18065625,30.361875,0.8299458,30.32,30.44
2015-02-16T23:45:00+0930,0.989583333,1424096100,1.277,30.53,0.05,end,96,314.321,2924.81,1138.292,30.36,30.62,3.274177083,30.46677083,1.0244628,30.36,30.62
2015-02-17T23:45:00+0930,0.989583333,1424182500,2.701,30.87,0.05,end,96,1019.909,2936.42,913.161,30.43,30.87,10.62405208,30.58770833,0.8218449,30.43,30.87
2015-02-18T23:45:00+0930,0.989583333,1424268900,18.74,30.9,0.05,end,94,2295.037,2882.96,64.545,30.51,30.92,24.41528723,30.66978723,0.0580905,30.51,30.92
2015-02-19T23:45:00+0930,0.989583333,1424355300,61.98,30.85,0.05,end,96,3747.271,2948.2,27.069,30.52,30.91,39.03407292,30.71041667,0.0243621,30.52,30.91
2015-02-20T23:45:00+0930,0.989583333,1424441700,32.13,30.42,0.05,end,96,5118.26,2936.74,4.8,30.42,30.83,53.31520833,30.59104167,0.00432,30.42,30.83
2015-02-21T23:45:00+0930,0.989583333,1424528100,55.81,30.24,0.05,end,96,8194.06,2905.05,4.801,30.02,30.41,85.35479167,30.2609375,0.0043209,30.02,30.41
2015-02-22T23:45:00+0930,0.989583333,1424614500,40.13,30.01,0.05,end,96,7949.05,2889.79,4.8,29.87,30.26,82.80260417,30.10197917,0.00432,29.87,30.26
2015-02-23T23:45:00+0930,0.989583333,1424700900,150.2,29.96,0.05,end,96,8808.65,2876.93,4.8,29.87,30.06,91.75677083,29.96802083,0.00432,29.87,30.06
2015-02-24T23:45:00+0930,0.989583333,1424787300,203.9,29.99,0.05,end,94,6571.04,2815.69,4.7,29.91,30,69.90468085,29.95414894,0.00423,29.91,30
2015-02-25T23:45:00+0930,0.989583333,1424873700,19.07,30.04,0.05,end,96,6474.92,2876.49,4.8,29.91,30.05,67.44708333,29.9634375,0.00432,29.91,30.05
