date time,date,time,seconds since 1970,Water Temperature @1.0m,CurrentDirection @7.0m,CurrentMagnitude @7.0m,CurrentDirection @7.0m,Turbidity @26.0m,Water Pressure @26.0m,Water Temperature @26.0m,PAR @26.0m
2013-09-19T12:00:00+1000,19/09/2013,12:00:00,1.38E+09,24.58,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-19T12:15:00+1000,19/09/2013,12:15:00,1.38E+09,24.62,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-19T12:30:00+1000,19/09/2013,12:30:00,1.38E+09,24.61,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-19T12:45:00+1000,19/09/2013,12:45:00,1.38E+09,24.65,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-19T13:00:00+1000,19/09/2013,13:00:00,1.38E+09,24.62,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-19T13:15:00+1000,19/09/2013,13:15:00,1.38E+09,24.6,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-19T13:30:00+1000,19/09/2013,13:30:00,1.38E+09,24.6,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-19T13:45:00+1000,19/09/2013,13:45:00,1.38E+09,24.56,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-19T14:00:00+1000,19/09/2013,14:00:00,1.38E+09,24.51,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-19T14:15:00+1000,19/09/2013,14:15:00,1.38E+09,24.55,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-19T14:30:00+1000,19/09/2013,14:30:00,1.38E+09,24.5,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-19T14:45:00+1000,19/09/2013,14:45:00,1.38E+09,24.5,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-19T15:00:00+1000,19/09/2013,15:00:00,1.38E+09,24.42,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-19T15:15:00+1000,19/09/2013,15:15:00,1.38E+09,24.46,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-19T15:30:00+1000,19/09/2013,15:30:00,1.38E+09,24.36,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-19T15:45:00+1000,19/09/2013,15:45:00,1.38E+09,24.36,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-19T16:00:00+1000,19/09/2013,16:00:00,1.38E+09,24.29,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-19T16:15:00+1000,19/09/2013,16:15:00,1.38E+09,24.34,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-19T16:30:00+1000,19/09/2013,16:30:00,1.38E+09,24.31,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-19T16:45:00+1000,19/09/2013,16:45:00,1.38E+09,24.33,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-19T17:00:00+1000,19/09/2013,17:00:00,1.38E+09,24.35,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-19T17:15:00+1000,19/09/2013,17:15:00,1.38E+09,24.27,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-19T17:30:00+1000,19/09/2013,17:30:00,1.38E+09,24.23,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-19T17:45:00+1000,19/09/2013,17:45:00,1.38E+09,24.22,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-19T18:00:00+1000,19/09/2013,18:00:00,1.38E+09,24.24,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-19T18:15:00+1000,19/09/2013,18:15:00,1.38E+09,24.19,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-19T18:30:00+1000,19/09/2013,18:30:00,1.38E+09,24.18,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-19T18:45:00+1000,19/09/2013,18:45:00,1.38E+09,24.23,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-19T19:00:00+1000,19/09/2013,19:00:00,1.38E+09,24.24,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-19T19:15:00+1000,19/09/2013,19:15:00,1.38E+09,24.16,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-19T19:30:00+1000,19/09/2013,19:30:00,1.38E+09,24.18,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-19T19:45:00+1000,19/09/2013,19:45:00,1.38E+09,24.16,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-19T20:00:00+1000,19/09/2013,20:00:00,1.38E+09,24.13,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-19T20:15:00+1000,19/09/2013,20:15:00,1.38E+09,24.16,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-19T20:30:00+1000,19/09/2013,20:30:00,1.38E+09,24.15,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-19T20:45:00+1000,19/09/2013,20:45:00,1.38E+09,24.13,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-19T21:00:00+1000,19/09/2013,21:00:00,1.38E+09,24.17,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-19T21:15:00+1000,19/09/2013,21:15:00,1.38E+09,24.11,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-19T21:30:00+1000,19/09/2013,21:30:00,1.38E+09,24.14,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-19T21:45:00+1000,19/09/2013,21:45:00,1.38E+09,24.14,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-19T22:00:00+1000,19/09/2013,22:00:00,1.38E+09,24.11,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-19T22:15:00+1000,19/09/2013,22:15:00,1.38E+09,24.06,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-19T22:30:00+1000,19/09/2013,22:30:00,1.38E+09,24.01,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-19T22:45:00+1000,19/09/2013,22:45:00,1.38E+09,24.02,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-19T23:00:00+1000,19/09/2013,23:00:00,1.38E+09,23.98,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-19T23:15:00+1000,19/09/2013,23:15:00,1.38E+09,23.98,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-19T23:30:00+1000,19/09/2013,23:30:00,1.38E+09,23.99,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-19T23:45:00+1000,19/09/2013,23:45:00,1.38E+09,23.99,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T00:00:00+1000,20/09/2013,0:00:00,1.38E+09,24.01,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T00:15:00+1000,20/09/2013,0:15:00,1.38E+09,24,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T00:30:00+1000,20/09/2013,0:30:00,1.38E+09,24,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T00:45:00+1000,20/09/2013,0:45:00,1.38E+09,24,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T01:00:00+1000,20/09/2013,1:00:00,1.38E+09,23.99,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T01:15:00+1000,20/09/2013,1:15:00,1.38E+09,23.99,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T01:30:00+1000,20/09/2013,1:30:00,1.38E+09,23.98,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T01:45:00+1000,20/09/2013,1:45:00,1.38E+09,23.97,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T02:00:00+1000,20/09/2013,2:00:00,1.38E+09,23.96,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T02:15:00+1000,20/09/2013,2:15:00,1.38E+09,23.96,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T02:30:00+1000,20/09/2013,2:30:00,1.38E+09,23.94,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T02:45:00+1000,20/09/2013,2:45:00,1.38E+09,23.94,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T03:00:00+1000,20/09/2013,3:00:00,1.38E+09,23.93,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T03:15:00+1000,20/09/2013,3:15:00,1.38E+09,23.93,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T03:30:00+1000,20/09/2013,3:30:00,1.38E+09,23.93,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T03:45:00+1000,20/09/2013,3:45:00,1.38E+09,23.92,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T04:00:00+1000,20/09/2013,4:00:00,1.38E+09,23.93,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T04:15:00+1000,20/09/2013,4:15:00,1.38E+09,23.94,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T04:30:00+1000,20/09/2013,4:30:00,1.38E+09,23.93,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T04:45:00+1000,20/09/2013,4:45:00,1.38E+09,23.93,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T05:00:00+1000,20/09/2013,5:00:00,1.38E+09,23.94,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T05:15:00+1000,20/09/2013,5:15:00,1.38E+09,23.94,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T05:30:00+1000,20/09/2013,5:30:00,1.38E+09,23.94,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T05:45:00+1000,20/09/2013,5:45:00,1.38E+09,23.95,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T06:00:00+1000,20/09/2013,6:00:00,1.38E+09,23.97,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T06:15:00+1000,20/09/2013,6:15:00,1.38E+09,23.99,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T06:30:00+1000,20/09/2013,6:30:00,1.38E+09,24,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T06:45:00+1000,20/09/2013,6:45:00,1.38E+09,24.02,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T07:00:00+1000,20/09/2013,7:00:00,1.38E+09,24.03,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T07:15:00+1000,20/09/2013,7:15:00,1.38E+09,24.03,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T07:30:00+1000,20/09/2013,7:30:00,1.38E+09,24.04,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T07:45:00+1000,20/09/2013,7:45:00,1.38E+09,24.05,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T08:00:00+1000,20/09/2013,8:00:00,1.38E+09,24.07,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T08:15:00+1000,20/09/2013,8:15:00,1.38E+09,24.12,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T08:30:00+1000,20/09/2013,8:30:00,1.38E+09,24.12,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T08:45:00+1000,20/09/2013,8:45:00,1.38E+09,24.2,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T09:00:00+1000,20/09/2013,9:00:00,1.38E+09,24.21,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T09:15:00+1000,20/09/2013,9:15:00,1.38E+09,24.23,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T09:30:00+1000,20/09/2013,9:30:00,1.38E+09,24.28,Not available,Not available,Not available,Not available,Not available,Not available,Not available
