date_time,time,seconds_since_1970,turbidity,temp,par
2015-02-14T19:30:00+0930,19:30:00,1423908000,1.665,30.33,0.05
2015-02-14T19:45:00+0930,19:45:00,1423908900,1.388,30.33,0.05
2015-02-14T20:00:00+0930,20:00:00,1423909800,2.146,30.33,0.05
2015-02-14T20:15:00+0930,20:15:00,1423910700,1.499,30.33,0.05
2015-02-14T20:30:00+0930,20:30:00,1423911600,1.388,30.33,0.05
2015-02-14T20:45:00+0930,20:45:00,1423912500,1.369,30.33,0.05
2015-02-14T21:00:00+0930,21:00:00,1423913400,1.998,30.32,0.05
2015-02-14T21:15:00+0930,21:15:00,1423914300,1.776,30.31,0.05
2015-02-14T21:30:00+0930,21:30:00,1423915200,2.646,30.31,0.05
2015-02-14T21:45:00+0930,21:45:00,1423916100,1.832,30.31,0.05
2015-02-14T22:00:00+0930,22:00:00,1423917000,1.665,30.31,0.05
2015-02-14T22:15:00+0930,22:15:00,1423917900,1.961,30.31,0.05
2015-02-14T22:30:00+0930,22:30:00,1423918800,1.961,30.31,0.05
2015-02-14T22:45:00+0930,22:45:00,1423919700,1.887,30.31,0.05
2015-02-14T23:00:00+0930,23:00:00,1423920600,2.701,30.31,0.05
2015-02-14T23:15:00+0930,23:15:00,1423921500,2.054,30.31,0.05
2015-02-14T23:30:00+0930,23:30:00,1423922400,2.017,30.31,0.05
2015-02-14T23:45:00+0930,23:45:00,1423923300,2.627,30.32,0.05
2015-02-15T00:00:00+0930,0:00:00,1423924200,2.331,30.32,0.05
2015-02-15T00:15:00+0930,0:15:00,1423925100,2.498,30.32,0.05
2015-02-15T00:30:00+0930,0:30:00,1423926000,1.998,30.32,0.05
2015-02-15T00:45:00+0930,0:45:00,1423926900,1.998,30.32,0.05
2015-02-15T01:00:00+0930,1:00:00,1423927800,2.22,30.32,0.05
2015-02-15T01:15:00+0930,1:15:00,1423928700,1.85,30.32,0.05
2015-02-15T01:30:00+0930,1:30:00,1423929600,1.905,30.32,0.05
2015-02-15T01:45:00+0930,1:45:00,1423930500,2.35,30.32,0.05
2015-02-15T02:00:00+0930,2:00:00,1423931400,2.22,30.32,0.05
2015-02-15T02:15:00+0930,2:15:00,1423932300,1.609,30.32,0.05
2015-02-15T02:30:00+0930,2:30:00,1423933200,1.517,30.32,0.05
2015-02-15T02:45:00+0930,2:45:00,1423934100,1.554,30.32,0.05
2015-02-15T03:00:00+0930,3:00:00,1423935000,2.479,30.32,0.05
2015-02-15T03:15:00+0930,3:15:00,1423935900,2.442,30.32,0.05
2015-02-15T03:30:00+0930,3:30:00,1423936800,2.239,30.32,0.05
