date_time,time,seconds_since_1970,turbidity,temp,par
2016-01-01T00:00:00+0930,0:00:00,1451572200,149.4,29.18,0.045
2016-01-01T00:15:00+0930,0:15:00,1451573100,139.9,29.19,0.045
2016-01-01T00:30:00+0930,0:30:00,1451574000,129,29.18,0.045
2016-01-01T00:45:00+0930,0:45:00,1451574900,124.3,29.16,0.045
2016-01-01T01:00:00+0930,1:00:00,1451575800,106.1,29.16,0.045
2016-01-01T01:15:00+0930,1:15:00,1451576700,87.5,29.15,0.045
2016-01-01T01:30:00+0930,1:30:00,1451577600,66.34,29.14,0.045
2016-01-01T01:45:00+0930,1:45:00,1451578500,69.16,29.13,0.045
2016-01-01T02:00:00+0930,2:00:00,1451579400,60.55,29.13,0.045
2016-01-01T02:15:00+0930,2:15:00,1451580300,59.66,29.13,0.045
2016-01-01T02:30:00+0930,2:30:00,1451581200,61.09,29.13,0.045
2016-01-01T02:45:00+0930,2:45:00,1451582100,60.98,29.13,0.045
2016-01-01T03:00:00+0930,3:00:00,1451583000,56.63,29.13,0.045
2016-01-01T03:15:00+0930,3:15:00,1451583900,55.09,29.13,0.045
2016-01-01T03:30:00+0930,3:30:00,1451584800,54.63,29.13,0.045
2016-01-01T03:45:00+0930,3:45:00,1451585700,61,29.13,0.045
2016-01-01T04:00:00+0930,4:00:00,1451586600,64.86,29.12,0.045
2016-01-01T04:15:00+0930,4:15:00,1451587500,92.9,29.11,0.045
2016-01-01T04:30:00+0930,4:30:00,1451588400,209.3,29.11,0.045
2016-01-01T04:45:00+0930,4:45:00,1451589300,152,29.11,0.045
2016-01-01T05:00:00+0930,5:00:00,1451590200,142.6,29.12,0.045
2016-01-01T05:15:00+0930,5:15:00,1451591100,123.5,29.12,0.045
2016-01-01T05:30:00+0930,5:30:00,1451592000,112.6,29.12,0.045
2016-01-01T05:45:00+0930,5:45:00,1451592900,108.7,29.11,0.045
2016-01-01T06:00:00+0930,6:00:00,1451593800,138.8,29.1,0.045
2016-01-01T06:15:00+0930,6:15:00,1451594700,153.3,29.1,0.045
2016-01-01T06:30:00+0930,6:30:00,1451595600,84.4,29.09,0.045
2016-01-01T06:45:00+0930,6:45:00,1451596500,82.3,29.1,0.045
2016-01-01T07:00:00+0930,7:00:00,1451597400,75.94,29.11,0.045
2016-01-01T07:15:00+0930,7:15:00,1451598300,66.56,29.1,0.045
2016-01-01T07:30:00+0930,7:30:00,1451599200,58.52,29.09,0.045
2016-01-01T07:45:00+0930,7:45:00,1451600100,46.72,29.09,0.045
2016-01-01T08:00:00+0930,8:00:00,1451601000,41.91,29.07,0.045
2016-01-01T08:15:00+0930,8:15:00,1451601900,40.74,29.07,0.045
2016-01-01T08:30:00+0930,8:30:00,1451602800,51.28,29.08,0.045
2016-01-01T08:45:00+0930,8:45:00,1451603700,61.98,29.09,0.045
2016-01-01T09:00:00+0930,9:00:00,1451604600,68.22,29.1,0.045
2016-01-01T09:15:00+0930,9:15:00,1451605500,86.9,29.1,0.045
2016-01-01T09:30:00+0930,9:30:00,1451606400,103,29.1,0.045
2016-01-01T09:45:00+0930,9:45:00,1451607300,188.2,29.1,0.045
2016-01-01T10:00:00+0930,10:00:00,1451608200,422.7,29.1,0.045
2016-01-01T10:15:00+0930,10:15:00,1451609100,108.3,29.1,0.045
2016-01-01T10:30:00+0930,10:30:00,1451610000,184.4,29.1,0.045
2016-01-01T10:45:00+0930,10:45:00,1451610900,155.7,29.1,0.045
2016-01-01T11:00:00+0930,11:00:00,1451611800,133.1,29.1,0.045
2016-01-01T11:15:00+0930,11:15:00,1451612700,98.8,29.09,0.045
2016-01-01T11:30:00+0930,11:30:00,1451613600,92,29.09,0.045
2016-01-01T11:45:00+0930,11:45:00,1451614500,78.66,29.1,0.045
2016-01-01T12:00:00+0930,12:00:00,1451615400,69.17,29.1,0.045
2016-01-01T12:15:00+0930,12:15:00,1451616300,64.06,29.1,0.045
2016-01-01T12:30:00+0930,12:30:00,1451617200,62.82,29.1,0.045
2016-01-01T12:45:00+0930,12:45:00,1451618100,59.08,29.1,0.045
2016-01-01T13:00:00+0930,13:00:00,1451619000,58.38,29.11,0.045
2016-01-01T13:15:00+0930,13:15:00,1451619900,60.37,29.11,0.045
2016-01-01T13:30:00+0930,13:30:00,1451620800,56.74,29.11,0.045
2016-01-01T13:45:00+0930,13:45:00,1451621700,54.36,29.12,0.045
2016-01-01T14:00:00+0930,14:00:00,1451622600,57.97,29.13,0.045
2016-01-01T14:15:00+0930,14:15:00,1451623500,67.95,29.14,0.045
2016-01-01T14:30:00+0930,14:30:00,1451624400,61.04,29.14,0.045
2016-01-01T14:45:00+0930,14:45:00,1451625300,61.35,29.14,0.045
2016-01-01T15:00:00+0930,15:00:00,1451626200,70.17,29.15,0.045
