date time,date,time,seconds since 1970,Water Temperature @1.0m,CurrentDirection @7.0m,CurrentMagnitude @7.0m,Turbidity @26.0m,Water Pressure @26.0m,Water Temperature @26.0m,PAR @26.0m
2013-09-20T00:00:00+1000,20/09/2013,0:00:00,1.38E+09,24.3488,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-21T00:00:00+1000,21/09/2013,0:00:00,1.38E+09,24.8018,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-22T00:00:00+1000,22/09/2013,0:00:00,1.38E+09,24.8936,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-23T00:00:00+1000,23/09/2013,0:00:00,1.38E+09,25.0472,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-24T00:00:00+1000,24/09/2013,0:00:00,1.38E+09,25.0223,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-25T00:00:00+1000,25/09/2013,0:00:00,1.38E+09,25.0155,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-26T00:00:00+1000,26/09/2013,0:00:00,1.38E+09,24.9077,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-27T00:00:00+1000,27/09/2013,0:00:00,1.38E+09,25.0406,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-28T00:00:00+1000,28/09/2013,0:00:00,1.38E+09,25.1643,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-29T00:00:00+1000,29/09/2013,0:00:00,1.38E+09,25.4116,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-30T00:00:00+1000,30/09/2013,0:00:00,1.38E+09,25.5461,Not available,Not available,Not available,Not available,Not available,Not available
2013-10-01T00:00:00+1000,1/10/2013,0:00:00,1.38E+09,25.5869,Not available,Not available,Not available,Not available,Not available,Not available
2013-10-02T00:00:00+1000,2/10/2013,0:00:00,1.38E+09,25.555,Not available,Not available,Not available,Not available,Not available,Not available
2013-10-03T00:00:00+1000,3/10/2013,0:00:00,1.38E+09,25.7069,Not available,Not available,Not available,Not available,Not available,Not available
2013-10-04T00:00:00+1000,4/10/2013,0:00:00,1.38E+09,25.6439,Not available,Not available,Not available,Not available,Not available,Not available
2013-10-05T00:00:00+1000,5/10/2013,0:00:00,1.38E+09,25.153,Not available,Not available,Not available,Not available,Not available,Not available
2013-10-06T00:00:00+1000,6/10/2013,0:00:00,1.38E+09,25.236,Not available,Not available,Not available,Not available,Not available,Not available
2013-10-07T00:00:00+1000,7/10/2013,0:00:00,1.38E+09,25.4369,Not available,Not available,Not available,Not available,Not available,Not available
2013-10-08T00:00:00+1000,8/10/2013,0:00:00,1.38E+09,25.5202,Not available,Not available,Not available,Not available,Not available,Not available
2013-10-09T00:00:00+1000,9/10/2013,0:00:00,1.38E+09,25.3666,Not available,Not available,Not available,Not available,Not available,Not available
2013-10-10T00:00:00+1000,10/10/2013,0:00:00,1.38E+09,25.2265,Not available,Not available,Not available,Not available,Not available,Not available
2013-10-11T00:00:00+1000,11/10/2013,0:00:00,1.38E+09,25.488,Not available,Not available,Not available,Not available,Not available,Not available
2013-10-12T00:00:00+1000,12/10/2013,0:00:00,1.38E+09,25.4816,Not available,Not available,Not available,Not available,Not available,Not available
2013-10-13T00:00:00+1000,13/10/2013,0:00:00,1.38E+09,25.5603,Not available,Not available,Not available,Not available,Not available,Not available
2013-10-14T00:00:00+1000,14/10/2013,0:00:00,1.38E+09,25.8461,Not available,Not available,Not available,Not available,Not available,Not available
2013-10-15T00:00:00+1000,15/10/2013,0:00:00,1.38E+09,26.0971,Not available,Not available,Not available,Not available,Not available,Not available
2013-10-16T00:00:00+1000,16/10/2013,0:00:00,1.38E+09,25.5785,Not available,Not available,Not available,Not available,Not available,Not available
2013-10-17T00:00:00+1000,17/10/2013,0:00:00,1.38E+09,25.7159,Not available,Not available,Not available,Not available,Not available,Not available
2013-10-18T00:00:00+1000,18/10/2013,0:00:00,1.38E+09,25.9214,Not available,Not available,Not available,Not available,Not available,Not available
2013-10-19T00:00:00+1000,19/10/2013,0:00:00,1.38E+09,25.8661,Not available,Not available,Not available,Not available,Not available,Not available
2013-10-20T00:00:00+1000,20/10/2013,0:00:00,1.38E+09,25.837,Not available,Not available,Not available,Not available,Not available,Not available
2013-10-21T00:00:00+1000,21/10/2013,0:00:00,1.38E+09,25.7677,Not available,Not available,Not available,Not available,Not available,Not available
2013-10-22T00:00:00+1000,22/10/2013,0:00:00,1.38E+09,25.7866,Not available,Not available,Not available,Not available,Not available,Not available
2013-10-23T00:00:00+1000,23/10/2013,0:00:00,1.38E+09,25.9621,Not available,Not available,Not available,Not available,Not available,Not available
2013-10-24T00:00:00+1000,24/10/2013,0:00:00,1.38E+09,26.2449,Not available,Not available,Not available,Not available,Not available,Not available
2013-10-25T00:00:00+1000,25/10/2013,0:00:00,1.38E+09,26.3538,Not available,Not available,Not available,Not available,Not available,Not available
2013-10-26T00:00:00+1000,26/10/2013,0:00:00,1.38E+09,26.2091,Not available,Not available,Not available,Not available,Not available,Not available
2013-10-27T00:00:00+1000,27/10/2013,0:00:00,1.38E+09,26.3319,Not available,Not available,Not available,Not available,Not available,Not available
2013-10-28T00:00:00+1000,28/10/2013,0:00:00,1.38E+09,26.323,Not available,Not available,Not available,Not available,Not available,Not available
2013-10-29T00:00:00+1000,29/10/2013,0:00:00,1.38E+09,26.4757,Not available,Not available,Not available,Not available,Not available,Not available
2013-10-30T00:00:00+1000,30/10/2013,0:00:00,1.38E+09,26.4893,Not available,Not available,Not available,Not available,Not available,Not available
2013-10-31T00:00:00+1000,31/10/2013,0:00:00,1.38E+09,26.6583,Not available,Not available,Not available,Not available,Not available,Not available
2013-11-01T00:00:00+1000,1/11/2013,0:00:00,1.38E+09,26.6724,Not available,Not available,Not available,Not available,Not available,Not available
2013-11-02T00:00:00+1000,2/11/2013,0:00:00,1.38E+09,26.5923,Not available,Not available,Not available,Not available,Not available,Not available
2013-11-03T00:00:00+1000,3/11/2013,0:00:00,1.38E+09,26.458,Not available,Not available,Not available,Not available,Not available,Not available
2013-11-04T00:00:00+1000,4/11/2013,0:00:00,1.38E+09,26.5483,Not available,Not available,Not available,Not available,Not available,Not available
2013-11-05T00:00:00+1000,5/11/2013,0:00:00,1.38E+09,26.4961,Not available,Not available,Not available,Not available,Not available,Not available
2013-11-06T00:00:00+1000,6/11/2013,0:00:00,1.38E+09,26.4674,Not available,Not available,Not available,Not available,Not available,Not available
2013-11-07T00:00:00+1000,7/11/2013,0:00:00,1.38E+09,26.414,Not available,Not available,Not available,Not available,Not available,Not available
2013-11-08T00:00:00+1000,8/11/2013,0:00:00,1.38E+09,26.4202,Not available,Not available,Not available,Not available,Not available,Not available
2013-11-09T00:00:00+1000,9/11/2013,0:00:00,1.38E+09,26.4588,Not available,Not available,Not available,Not available,Not available,Not available
2013-11-10T00:00:00+1000,10/11/2013,0:00:00,1.38E+09,26.4861,Not available,Not available,Not available,Not available,Not available,Not available
2013-11-20T00:00:00+1000,20/11/2013,0:00:00,1.38E+09,27.8646,Not available,Not available,Not available,Not available,Not available,Not available
2013-11-21T00:00:00+1000,21/11/2013,0:00:00,1.38E+09,28.1618,122.2549,0.3202,28.0714,26.9094,Not available,
2013-11-22T00:00:00+1000,22/11/2013,0:00:00,1.39E+09,28.1694,119.5028,0.2811,28.0966,26.7835,Not available,
2013-11-23T00:00:00+1000,23/11/2013,0:00:00,1.39E+09,27.939,121.9667,0.2294,28.1048,26.535,Not available,
2013-11-24T00:00:00+1000,24/11/2013,0:00:00,1.39E+09,27.9848,127.2153,0.4573,28.0311,26.5049,Not available,
2013-11-25T00:00:00+1000,25/11/2013,0:00:00,1.39E+09,27.8621,124.7583,0.4106,28.0203,26.2398,Not available,
2013-11-26T00:00:00+1000,26/11/2013,0:00:00,1.39E+09,28.0982,120.6264,0.3311,28.0647,26.2202,Not available,
2013-11-27T00:00:00+1000,27/11/2013,0:00:00,1.39E+09,27.8871,173.6313,0.2073,28.1954,26.3443,Not available,
2013-11-28T00:00:00+1000,28/11/2013,0:00:00,1.39E+09,27.1906,312.6174,0.2889,28.2523,27.1489,Not available,
2013-11-29T00:00:00+1000,29/11/2013,0:00:00,1.39E+09,27.5118,186.3049,0.1887,28.1816,27.1211,Not available,
2013-11-30T00:00:00+1000,30/11/2013,0:00:00,1.39E+09,27.7146,117.4424,0.2807,28.1792,27.2366,Not available,
2013-12-01T00:00:00+1000,1/12/2013,0:00:00,1.39E+09,27.5482,203.9826,0.2492,28.274,27.4718,Not available,
2013-12-02T00:00:00+1000,2/12/2013,0:00:00,1.39E+09,27.3981,234.8486,0.2839,28.389,27.4055,Not available,
2013-12-03T00:00:00+1000,3/12/2013,0:00:00,1.39E+09,27.2381,228.0625,0.2633,28.3275,27.2448,Not available,
2013-12-04T00:00:00+1000,4/12/2013,0:00:00,1.39E+09,27.3448,192.3764,0.2776,28.2457,27.2109,Not available,
