date time,date,time,seconds since 1970,Water Temperature @1.0m,CurrentDirection @7.0m,CurrentMagnitude @7.0m,CurrentDirection @7.0m,Turbidity @26.0m,Water Pressure @26.0m,Water Temperature @26.0m,PAR @26.0m
2018-01-01T00:00:00+1000,1/01/2018,0:00:00,1.51E+09,28.87,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T00:15:00+1000,1/01/2018,0:15:00,1.51E+09,28.88,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T00:30:00+1000,1/01/2018,0:30:00,1.51E+09,28.92,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T00:45:00+1000,1/01/2018,0:45:00,1.51E+09,28.93,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T01:00:00+1000,1/01/2018,1:00:00,1.51E+09,28.92,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T01:15:00+1000,1/01/2018,1:15:00,1.51E+09,28.88,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T01:30:00+1000,1/01/2018,1:30:00,1.51E+09,28.82,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T01:45:00+1000,1/01/2018,1:45:00,1.51E+09,28.77,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T02:00:00+1000,1/01/2018,2:00:00,1.51E+09,28.74,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T02:15:00+1000,1/01/2018,2:15:00,1.51E+09,28.7,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T02:30:00+1000,1/01/2018,2:30:00,1.51E+09,28.67,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T02:45:00+1000,1/01/2018,2:45:00,1.51E+09,28.66,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T03:00:00+1000,1/01/2018,3:00:00,1.51E+09,28.66,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T03:15:00+1000,1/01/2018,3:15:00,1.51E+09,28.65,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T03:30:00+1000,1/01/2018,3:30:00,1.51E+09,28.62,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T03:45:00+1000,1/01/2018,3:45:00,1.51E+09,28.63,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T04:00:00+1000,1/01/2018,4:00:00,1.51E+09,28.61,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T04:15:00+1000,1/01/2018,4:15:00,1.51E+09,28.57,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T04:30:00+1000,1/01/2018,4:30:00,1.51E+09,28.58,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T04:45:00+1000,1/01/2018,4:45:00,1.51E+09,28.6,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T05:00:00+1000,1/01/2018,5:00:00,1.51E+09,28.62,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T05:15:00+1000,1/01/2018,5:15:00,1.51E+09,28.6,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T05:30:00+1000,1/01/2018,5:30:00,1.51E+09,28.56,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T05:45:00+1000,1/01/2018,5:45:00,1.51E+09,28.54,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T06:00:00+1000,1/01/2018,6:00:00,1.51E+09,28.54,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T06:15:00+1000,1/01/2018,6:15:00,1.51E+09,28.61,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T06:30:00+1000,1/01/2018,6:30:00,1.51E+09,28.65,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T06:45:00+1000,1/01/2018,6:45:00,1.51E+09,28.71,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T07:00:00+1000,1/01/2018,7:00:00,1.51E+09,28.75,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T07:15:00+1000,1/01/2018,7:15:00,1.51E+09,28.76,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T07:30:00+1000,1/01/2018,7:30:00,1.51E+09,28.77,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T07:45:00+1000,1/01/2018,7:45:00,1.51E+09,28.78,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T08:00:00+1000,1/01/2018,8:00:00,1.51E+09,28.77,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T08:15:00+1000,1/01/2018,8:15:00,1.51E+09,28.79,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T08:30:00+1000,1/01/2018,8:30:00,1.51E+09,28.77,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T08:45:00+1000,1/01/2018,8:45:00,1.51E+09,28.79,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T09:00:00+1000,1/01/2018,9:00:00,1.51E+09,28.82,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T09:15:00+1000,1/01/2018,9:15:00,1.51E+09,28.84,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T09:30:00+1000,1/01/2018,9:30:00,1.51E+09,28.86,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T09:45:00+1000,1/01/2018,9:45:00,1.51E+09,28.87,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T10:00:00+1000,1/01/2018,10:00:00,1.51E+09,28.9,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T10:15:00+1000,1/01/2018,10:15:00,1.51E+09,28.97,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T10:30:00+1000,1/01/2018,10:30:00,1.51E+09,29.01,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T10:45:00+1000,1/01/2018,10:45:00,1.51E+09,29.04,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T11:00:00+1000,1/01/2018,11:00:00,1.51E+09,29.07,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T11:15:00+1000,1/01/2018,11:15:00,1.51E+09,29.11,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T11:30:00+1000,1/01/2018,11:30:00,1.51E+09,29.16,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T11:45:00+1000,1/01/2018,11:45:00,1.51E+09,29.04,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T12:00:00+1000,1/01/2018,12:00:00,1.51E+09,28.98,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T12:15:00+1000,1/01/2018,12:15:00,1.51E+09,28.94,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T12:30:00+1000,1/01/2018,12:30:00,1.51E+09,28.85,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T12:45:00+1000,1/01/2018,12:45:00,1.51E+09,28.86,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T13:00:00+1000,1/01/2018,13:00:00,1.51E+09,28.88,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T13:15:00+1000,1/01/2018,13:15:00,1.51E+09,28.88,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T13:30:00+1000,1/01/2018,13:30:00,1.51E+09,28.89,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T13:45:00+1000,1/01/2018,13:45:00,1.51E+09,28.82,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T14:00:00+1000,1/01/2018,14:00:00,1.51E+09,28.87,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T14:15:00+1000,1/01/2018,14:15:00,1.51E+09,28.88,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T14:30:00+1000,1/01/2018,14:30:00,1.51E+09,28.88,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T14:45:00+1000,1/01/2018,14:45:00,1.51E+09,28.9,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T15:00:00+1000,1/01/2018,15:00:00,1.51E+09,28.91,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2018-01-01T15:15:00+1000,1/01/2018,15:15:00,1.51E+09,28.92,Not available,Not available,Not available,Not available,Not available,Not available,Not available
